Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
P K Travels,A/C Sleeper (2+1),18:45,6:30,4.1,11h 45m,999,18 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),22:30,6:45,4,08h 15m,749,21 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),22:30,7:30,4.6,09h 00m,799,24 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,6:45,4.2,09h 00m,833,18 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,3.4,03h 54m,600,25 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,1:30,4,04h 30m,400,32 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,2:01,3.2,04h 16m,700,17 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,1:29,3.3,02h 59m,800,26 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),21:30,6:00,4.4,08h 30m,750,21 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
DLT BUS,A/C Sleeper (2+1),21:45,6:30,4.4,08h 45m,999,12 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
National travels and logistics,A/C Sleeper (2+1),21:00,6:15,4.4,09h 15m,799,19 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
AdSAAM BUS,VE A/C Sleeper (2+1),20:30,6:15,4.2,09h 45m,833,14 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
Ubc travels,A/C Seater/Sleeper (2+1),20:45,3:00,3.6,06h 15m,900,39 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,2:10,3.7,05h 20m,700,35 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,2:30,4.5,05h 35m,800,6 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Sona Travels,Bharat Benz A/C Sleeper (2+1),21:00,2:45,3.1,05h 45m,800,22 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
A1 Travels,Bharat Benz A/C Sleeper (2+1),17:30,23:30,4.1,06h 00m,700,16 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),23:55,5:30,3.4,05h 35m,799,18 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
Suraj Holidays,NON AC Seater / Sleeper 2+1,23:55,6:00,4.2,06h 05m,750,28 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),23:57,6:30,4.1,06h 33m,750,19 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,18:35,4.6,06h 20m,399,32 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),19:30,2:30,4.1,07h 00m,749,17 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:00,4:00,3.3,08h 00m,700,16 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),20:31,2:30,4.1,05h 59m,749,14 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
BLM Transports,A/C Sleeper (2+1),22:00,1:00,3.9,03h 00m,1125,3 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
EMERALD TRAVELS,A/C Sleeper (2+1),22:10,0:30,3,02h 20m,1100,17 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,A/C Sleeper (2+1),22:20,1:10,4,02h 50m,999,24 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,1:55,4,02h 25m,799,40 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,7:30,4,08h 00m,899,39 Seats available,Kozhikode To Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:05,5:30,3.9,09h 25m,700,23 Seats available,Kozhikode To Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Ksrtc
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,6:00,3.4,09h 00m,509,32 Seats available,Kozhikode To Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Ksrtc
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,6:30,3,08h 45m,700,36 Seats available,Kozhikode To Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Ksrtc
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,6:38,4.9,07h 08m,750,24 Seats available,Kozhikode To Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,4:50,4,05h 20m,899,40 Seats available,Kozhikode To Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Ksrtc
Madhavi Travels,A/C Sleeper (2+1),23:40,6:40,4,07h 00m,1099,15 Seats available,Kozhikode To Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:05,3:00,3.8,06h 55m,700,27 Seats available,Kozhikode To Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Ksrtc
Galaxy Tours,A/C Semi Sleeper (2+2),23:55,2:30,2.7,02h 35m,500,41 Seats available,Thrissur To Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Ksrtc
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:31,1:25,3,02h 54m,1100,19 Seats available,Thrissur To Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Ksrtc
Adrin Travels,A/C Seater/Sleeper (2+1),23:05,2:00,4,02h 55m,1000,39 Seats available,Thrissur To Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Ksrtc
Blue Bird Travels,A/C Seater Push Back (2+2),23:15,2:50,3.1,03h 35m,549,10 Seats available,Thrissur To Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),22:30,5:30,4.3,07h 00m,799,24 Seats available,Bangalore To Kalpetta,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Ksrtc
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,7:30,4.2,08h 30m,799,25 Seats available,Bangalore To Kalpetta,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Ksrtc
DLT BUS,A/C Sleeper (2+1),22:30,5:30,3.9,07h 00m,1099,15 Seats available,Bangalore To Kalpetta,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),22:30,5:45,4.3,07h 15m,799,24 Seats available,Bangalore To Kalpetta,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Ksrtc
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),13:55,21:45,4.5,07h 50m,599,31 Seats available,Kalpetta To Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),23:45,6:00,4.5,06h 15m,750,21 Seats available,Kalpetta To Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Ksrtc
DLT BUS,A/C Sleeper (2+1),23:45,6:30,4.4,06h 45m,999,12 Seats available,Kalpetta To Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),23:45,6:00,4.7,06h 15m,750,21 Seats available,Kalpetta To Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Ksrtc
Madhavi Travels,A/C Sleeper (2+1),18:50,3:00,5,08h 10m,999,15 Seats available,Kottayam To Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:59,4:30,3.5,04h 31m,899,38 Seats available,Kottayam To Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Ksrtc
Sonia Travels,A/C Seater/Sleeper (2+1),19:10,2:29,4.1,07h 19m,750,37 Seats available,Kottayam To Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Ksrtc
Sonia Travels,A/C Semi Sleeper (2+2),20:10,2:45,4.1,06h 35m,650,32 Seats available,Kottayam To Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Ksrtc
Madhavi Travels,A/C Sleeper (2+1),19:50,4:30,4.5,08h 40m,1099,8 Seats available,Thiruvananthapuram To Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Ksrtc
BLM Transports,A/C Sleeper (2+1),20:15,5:00,3.4,08h 45m,855,19 Seats available,Thiruvananthapuram To Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Ksrtc
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:30,5:00,3.2,08h 30m,740,28 Seats available,Thiruvananthapuram To Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Ksrtc
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,6:30,3.7,09h 30m,600,24 Seats available,Thiruvananthapuram To Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Ksrtc
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),20:30,5:20,4,08h 50m,799,15 Seats available,Kannur To Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Ksrtc
Kalpaka Travels 1,NON A/C Seater/ Sleeper (2+1),21:30,5:00,4,07h 30m,800,15 Seats available,Kannur To Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Ksrtc
P K Travels,A/C Sleeper (2+1),21:00,5:00,4.4,08h 00m,1100,13 Seats available,Kannur To Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Ksrtc
NS Transports,NON A/C Sleeper (2+1),21:45,5:45,4.2,08h 00m,849,10 Seats available,Kannur To Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Ksrtc
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,3:50,4.1,04h 20m,680,37 Seats available,Kozhikode To Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,2:45,4,03h 15m,799,40 Seats available,Kozhikode To Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,2:15,4,02h 45m,799,24 Seats available,Kozhikode To Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva,Ksrtc
UFO Bus,A/C Sleeper (2+1),23:55,4:45,4.1,04h 50m,799,15 Seats available,Kozhikode To Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva,Ksrtc
FRESHBUS,Electric A/C Seater (2+2),10:25,17:55,4.7,07h 30m,349,21 Seats available,Hyderabad To Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Apsrtc
FRESHBUS,Electric A/C Seater (2+2),11:20,18:50,4.7,07h 30m,349,36 Seats available,Hyderabad To Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Apsrtc
FRESHBUS,Electric A/C Seater (2+2),23:20,5:45,4.6,06h 25m,348,30 Seats available,Hyderabad To Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Apsrtc
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,6:15,4.7,06h 50m,479,27 Seats available,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Apsrtc
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,6:00,4.6,06h 15m,419,38 Seats available,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Apsrtc
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,5:45,4.6,07h 00m,449,29 Seats available,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Apsrtc
NueGo,Electric A/C Seater (2+2),10:30,15:10,3.8,04h 40m,332,15 Seats available,Chittoor Andhra Pradesh To Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Apsrtc
Venson Transports,Non AC Seater (2+3),11:10,16:00,3.2,04h 50m,275,56 Seats available,Chittoor Andhra Pradesh To Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Apsrtc
NueGo,A/C Seater (2+2),12:30,17:10,3.6,04h 40m,332,22 Seats available,Chittoor Andhra Pradesh To Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Apsrtc
NueGo,Electric A/C Seater (2+2),13:30,18:45,3.7,05h 15m,332,30 Seats available,Chittoor Andhra Pradesh To Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Apsrtc
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),14:36,19:13,5,04h 37m,220,26 Seats available,Chittoor Andhra Pradesh To Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Apsrtc
FRESHBUS,Electric A/C Seater (2+2),9:30,14:05,4.6,04h 35m,525,2 Seats available,Bangalore To Tirupathi,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Apsrtc
NueGo,Electric A/C Seater (2+2),9:45,14:45,4.1,05h 00m,379,6 Seats available,Bangalore To Tirupathi,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Apsrtc
NueGo,A/C Seater (2+2),11:00,17:25,3.8,06h 25m,361,12 Seats available,Bangalore To Tirupathi,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Apsrtc
AdRK Travels,A/C Seater / Sleeper (2+1),20:45,3:00,3.5,06h 15m,2000,40 Seats available,Bangalore To Tirupathi,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Apsrtc
NueGo,Electric A/C Seater (2+2),9:30,15:10,4.1,05h 40m,332,15 Seats available,Tirupathi To Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Apsrtc
FRESHBUS,Electric A/C Seater (2+2),9:40,13:40,4.8,04h 00m,339,18 Seats available,Tirupathi To Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Apsrtc
NueGo,A/C Seater (2+2),11:00,17:10,4,06h 10m,332,22 Seats available,Tirupathi To Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Apsrtc
HYBUS,Bharat Benz A/C Sleeper (2+1),12:00,17:40,4.7,05h 40m,585,27 Seats available,Tirupathi To Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Apsrtc
Sri Vinayaka Travels,NON A/C Sleeper (2+1),22:30,4:45,4,06h 15m,675,16 Seats available,Kadapa To Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Apsrtc
Sri Vinayaka Travels,A/C Sleeper (2+1),22:30,5:00,4.4,06h 30m,675,26 Seats available,Kadapa To Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Apsrtc
Sri Vinayaka Travels,A/C Sleeper (2+1),22:30,5:00,3.9,06h 30m,719,16 Seats available,Kadapa To Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Apsrtc
S R Travels,Non A/C Seater / Sleeper (2+1),22:40,5:15,3.4,06h 35m,700,14 Seats available,Kadapa To Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Apsrtc
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),22:35,6:15,4,07h 40m,511,28 Seats available,Hyderabad To Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Apsrtc
Vikram Travels,A/C Seater / Sleeper (2+1),21:55,5:30,4.5,07h 35m,509,30 Seats available,Hyderabad To Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Apsrtc
Pspk Bus,Non A/C Seater / Sleeper (2+1),21:30,6:30,4.3,09h 00m,470,25 Seats available,Hyderabad To Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Apsrtc
YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:05,1:00,4.9,02h 55m,800,26 Seats available,Ananthapur To Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Apsrtc
Royal Rich India,Bharat Benz A/C Sleeper (2+1),20:10,23:45,4.2,03h 35m,850,2 Seats available,Ananthapur To Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Apsrtc
YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:25,23:45,4.1,03h 20m,1300,6 Seats available,Ananthapur To Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Apsrtc
BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,3:00,3.6,07h 45m,455,22 Seats available,Bangalore To Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Apsrtc
S R Travels,Non A/C Seater / Sleeper (2+1),19:15,3:15,3.2,08h 00m,700,27 Seats available,Bangalore To Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Apsrtc
Giridhar Tours and Travels,A/C Seater/Sleeper (2+1),19:24,3:15,4.2,07h 51m,700,14 Seats available,Bangalore To Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Apsrtc
S R Travels,Non A/C Seater / Sleeper (2+1),19:30,3:30,3.3,08h 00m,650,22 Seats available,Bangalore To Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Apsrtc
NueGo,Electric A/C Seater (2+2),9:45,13:30,4.4,03h 45m,379,6 Seats available,Bangalore To Chittoor Andhra Pradesh,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Apsrtc
NueGo,A/C Seater (2+2),11:00,16:10,4.2,05h 10m,361,12 Seats available,Bangalore To Chittoor Andhra Pradesh,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Apsrtc
NueGo,Electric A/C Seater (2+2),13:00,17:30,4.1,04h 30m,332,22 Seats available,Bangalore To Chittoor Andhra Pradesh,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Apsrtc
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),13:45,19:03,4.2,05h 18m,200,17 Seats available,Bangalore To Chittoor Andhra Pradesh,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Apsrtc
IntrCity SmartBus,AC Sleeper (2+1),21:55,1:40,4.3,03h 45m,689,25 Seats available,Bangalore To Ananthapur,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Apsrtc
Zingbus Plus,A/C Sleeper (2+1),20:05,23:35,4.4,03h 30m,1180,21 Seats available,Bangalore To Ananthapur,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Apsrtc
VSR Tours and Travels,A/C Sleeper (2+1),18:40,1:00,4.9,06h 20m,629,20 Seats available,Bangalore To Ananthapur,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Apsrtc
Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:40,2:30,4.4,03h 50m,555,26 Seats available,Visakhapatnam To Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Apsrtc
Morning Star Travels,A/C Sleeper (2+1),21:10,2:25,2.7,05h 15m,600,16 Seats available,Visakhapatnam To Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Apsrtc
MAHA BUS,A/C Sleeper (2+1),21:30,1:40,New,04h 10m,640,18 Seats available,Visakhapatnam To Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Apsrtc
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:40,2:30,3.2,03h 50m,5000,42 Seats available,Visakhapatnam To Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Apsrtc
AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),23:55,5:00,4.1,05h 05m,399,18 Seats available,Kadiri To Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Apsrtc
AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),23:55,5:00,4.1,05h 05m,399,27 Seats available,Kadiri To Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Apsrtc
Indu Travels,Non A/C Seater / Sleeper (2+1),23:59,5:00,4.1,05h 01m,399,25 Seats available,Kadiri To Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Apsrtc
SEVEN HILLS TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,5:00,4.7,05h 01m,450,31 Seats available,Kadiri To Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Apsrtc
Maheswari Travels,Non A/C Seater / Sleeper (2+1),20:00,2:40,4.4,06h 40m,399,27 Seats available,Bangalore To Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Apsrtc
Indu Travels,Non A/C Seater / Sleeper (2+1),20:00,2:15,4.4,06h 15m,499,21 Seats available,Bangalore To Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Apsrtc
Indu Travels,Non A/C Seater / Sleeper (2+1),20:30,2:15,4,05h 45m,499,21 Seats available,Bangalore To Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Apsrtc
AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),20:30,3:00,4.5,06h 30m,450,45 Seats available,Bangalore To Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Apsrtc
KKaveri Travels,Non A/C Seater / Sleeper (2+1),21:00,4:10,3.7,07h 10m,500,25 Seats available,Hyderabad To Narsaraopet,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Apsrtc
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:15,4:55,3.3,07h 40m,500,22 Seats available,Hyderabad To Narsaraopet,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Apsrtc
Pspk Bus,Non A/C Seater / Sleeper (2+1),21:30,4:10,New,06h 40m,470,28 Seats available,Hyderabad To Narsaraopet,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Apsrtc
V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:30,4:00,4.3,06h 30m,900,19 Seats available,Hyderabad To Narsaraopet,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Apsrtc
BABA TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,6:00,3.8,06h 01m,2000,35 Seats available,Madanapalli To Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Apsrtc
VSN Travels,A/C Seater / Sleeper (2+1),22:30,5:00,4.2,06h 30m,499,22 Seats available,Narsaraopet To Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Apsrtc
SIVA SAI BALAJI TOURS AND TRAVELS,A/C Seater / Sleeper (2+1),22:35,4:30,4.5,05h 55m,449,27 Seats available,Narsaraopet To Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Apsrtc
VSN Travels,A/C Sleeper (2+1),22:40,5:30,4,06h 50m,650,9 Seats available,Narsaraopet To Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Apsrtc
Kundana Travels,NON A/C Seater (2+2),22:45,5:55,4.5,07h 10m,990,32 Seats available,Narsaraopet To Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Apsrtc
TGSRTC - 8710,Lahari Non A/C Sleeper Cum Seater,14:00,18:00,2.1,04h 00m,348,35 Seats available,Rajahmundry To Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Apsrtc
NueGo,Electric A/C Seater/Sleeper (2+1),11:35,15:55,3.7,04h 20m,389,9 Seats available,Rajahmundry To Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Apsrtc
NueGo,Electric A/C Seater/Sleeper (2+1),13:50,18:30,3,04h 40m,380,28 Seats available,Rajahmundry To Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Apsrtc
NueGo,Electric A/C Seater/Sleeper (2+1),19:05,23:25,4,04h 20m,333,26 Seats available,Rajahmundry To Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Apsrtc
NueGo,Electric A/C Seater (2+2),22:50,7:12,4.1,08h 22m,432,19 Seats available,Eluru To Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Apsrtc
NueGo,Electric A/C Seater (2+2),22:05,6:27,4.2,08h 22m,432,22 Seats available,Eluru To Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Apsrtc
NueGo,Electric A/C Seater (2+2),10:05,18:22,4,08h 17m,408,19 Seats available,Eluru To Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Apsrtc
NueGo,A/C Seater (2+2),10:30,14:05,4.2,03h 35m,338,17 Seats available,Chennai To Tirupathi,https://www.redbus.in/bus-tickets/chennai-to-tirupathi,Apsrtc
