Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
UPSRTC - PYD0010,Shatabdi AC Seater 2+2,12:50,17:20,3.3,04h 30m,503,37 Seats available,Lucknow To Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Uttar
Chaturvedi Bus Service,A/C Seater/Sleeper (2+1),21:30,2:00,2.1,04h 30m,550,46 Seats available,Delhi To Aligarh Uttar Pradesh,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Uttar
UPSRTC - PYD0138,Janrath AC Seater 2+3,11:01,15:31,3.3,04h 30m,435,46 Seats available,Allahabad To Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Uttar
UPSRTC - PYD0164,Janrath AC Seater 2+3,11:31,16:01,3.3,04h 30m,435,46 Seats available,Allahabad To Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Uttar
UPSRTC - PYD0156,Janrath AC Seater 2+3,12:01,16:31,1.6,04h 30m,435,48 Seats available,Allahabad To Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Uttar
UPSRTC - PYD0029,Volvo AC Seater 2+2,12:30,17:00,3.1,04h 30m,708,38 Seats available,Allahabad To Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Uttar
UPSRTC - PYD0056,Ordinary Non AC Seater 2+3,12:31,17:01,3.3,04h 30m,341,52 Seats available,Allahabad To Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Uttar
KVS Holidays,Non A/C Seater / Sleeper (2+1),21:30,6:30,1.7,09h 00m,719,31 Seats available,Delhi To Farrukhabad Up,https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Uttar
Yuvraj Travels,NON AC Seater / Sleeper 2+1,22:00,6:00,3.4,08h 00m,700,40 Seats available,Delhi To Farrukhabad Up,https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Uttar
Chaturvedi Bus Service,Non A/C Seater / Sleeper (2+1),21:00,6:10,3.9,09h 10m,450,40 Seats available,Delhi To Farrukhabad Up,https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Uttar
Shree Krishna Shtabadi Travels,NON AC Seater / Sleeper 2+1,21:00,6:00,1.3,09h 00m,600,44 Seats available,Delhi To Farrukhabad Up,https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Uttar
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,7:00,4.2,09h 20m,1299,12 Seats available,Delhi To Sitapur,https://www.redbus.in/bus-tickets/delhi-to-sitapur,Uttar
RSRTC - 192993,A/C Seater / Sleeper (2+1),23:30,4:20,3.7,04h 50m,891,20 Seats available,Agra To Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow,Uttar
KARNI KRIPA TOURS & TRAVELS,Bharat Benz A/C Seater /Sleeper (2+1),23:55,5:00,4,05h 05m,799,19 Seats available,Agra To Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow,Uttar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),16:00,21:30,4.7,05h 30m,990,14 Seats available,Agra To Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow,Uttar
Anshi Raj Shree Travels,Bharat Benz A/C Sleeper (2+1),19:00,23:59,4.2,04h 59m,832,12 Seats available,Agra To Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow,Uttar
Gola Bus Service,VE A/C Seater / Sleeper (2+1),18:20,7:40,4.7,13h 20m,1999,13 Seats available,Delhi To Gorakhpur,https://www.redbus.in/bus-tickets/delhi-to-gorakhpur,Uttar
Gola Bus Service,VE A/C Sleeper (2+1),17:20,6:50,4.6,13h 30m,2399,14 Seats available,Delhi To Gorakhpur,https://www.redbus.in/bus-tickets/delhi-to-gorakhpur,Uttar
